"Dissemination Area (DA)","Province","DA Population","Residential instability Quintiles","Residential instability Scores","Ethno-cultural composition Quintiles","Ethno-cultural composition Scores","Economic dependency Quintiles","Economic dependency Scores","Situational vulnerability Quintiles","Situational vulnerability Scores"
10010271,Newfoundland & Labrador,445,1,-1.23,2,-0.685,1,-1.513,1,-0.78
10010272,Newfoundland & Labrador,485,1,-1.573,2,-0.784,3,-0.224,1,-0.876
10010273,Newfoundland & Labrador,1480,1,-0.881,1,-0.8,2,-0.652,1,-0.961
10010276,Newfoundland & Labrador,250,3,-0.088,2,-0.542,4,0.216,4,0.04
10010277,Newfoundland & Labrador,650,5,0.904,3,-0.259,4,0.247,4,0.094
10010278,Newfoundland & Labrador,165,4,0.16,3,-0.282,2,-0.582,3,-0.105
10010279,Newfoundland & Labrador,870,4,0.235,1,-0.865,3,0.076,1,-0.808
10010280,Newfoundland & Labrador,300,4,0.71,4,0.451,4,0.268,5,1.423
10010281,Newfoundland & Labrador,230,4,0.331,3,-0.284,4,0.426,3,-0.094
10010282,Newfoundland & Labrador,660,4,0.628,5,1.073,4,0.178,5,1.096
10010283,Newfoundland & Labrador,900,5,2.308,2,-0.675,5,1.685,3,-0.289
10010284,Newfoundland & Labrador,260,4,0.786,1,-1.235,4,0.63,1,-0.93
10010285,Newfoundland & Labrador,355,4,0.06,1,-1.23,4,0.461,2,-0.495
10010286,Newfoundland & Labrador,360,5,1.842,1,-0.944,5,2.017,2,-0.487
10010290,Newfoundland & Labrador,450,5,1.804,1,-1.114,2,-0.751,3,-0.103
10010294,Newfoundland & Labrador,525,5,1.766,3,-0.143,1,-1.365,2,-0.372
10010295,Newfoundland & Labrador,420,5,1.675,1,-0.874,1,-1.335,3,-0.159
10010296,Newfoundland & Labrador,345,5,2.042,1,-0.82,3,-0.243,5,0.732
10010297,Newfoundland & Labrador,425,4,0.461,1,-0.874,2,-0.557,3,-0.092
10010298,Newfoundland & Labrador,340,5,0.851,1,-0.968,2,-0.637,2,-0.498
10010299,Newfoundland & Labrador,520,5,1.278,1,-0.864,3,-0.248,4,0.389
10010300,Newfoundland & Labrador,355,5,1.792,4,0.106,4,0.463,5,1.302
10010301,Newfoundland & Labrador,325,5,1.15,3,-0.215,2,-0.367,5,1.427
10010302,Newfoundland & Labrador,345,5,1.134,2,-0.571,1,-0.964,4,0.055
10010303,Newfoundland & Labrador,255,5,1.564,2,-0.723,5,0.816,4,0.296
10010304,Newfoundland & Labrador,435,5,1.177,1,-1.067,1,-0.775,5,0.576
10010305,Newfoundland & Labrador,475,5,1.588,1,-0.875,3,-0.064,5,0.473
10010306,Newfoundland & Labrador,490,5,1.737,1,-0.89,3,-0.203,4,0.225
10010307,Newfoundland & Labrador,405,5,0.872,1,-0.819,3,-0.154,5,0.654
10010308,Newfoundland & Labrador,345,5,1.288,1,-0.845,4,0.122,5,1.02
10010309,Newfoundland & Labrador,770,4,0.427,1,-0.856,3,-0.115,1,-1.002
10010310,Newfoundland & Labrador,405,1,-1.14,1,-0.856,3,-0.286,1,-1.569
10010337,Newfoundland & Labrador,940,4,0.582,4,0.487,3,-0.012,5,0.88
10010338,Newfoundland & Labrador,520,4,0.761,3,-0.323,4,0.123,3,-0.194
10010339,Newfoundland & Labrador,390,2,-0.642,2,-0.691,4,0.463,1,-1.048
10010340,Newfoundland & Labrador,460,3,-0.337,4,0.122,5,0.744,1,-0.7
10010341,Newfoundland & Labrador,305,2,-0.575,2,-0.775,5,1.192,1,-0.803
10010342,Newfoundland & Labrador,390,3,-0.231,2,-0.74,3,-0.134,3,-0.328
10010343,Newfoundland & Labrador,280,2,-0.764,3,-0.466,4,0.479,1,-0.877
10010344,Newfoundland & Labrador,825,5,0.976,4,0.322,2,-0.452,2,-0.394
10010345,Newfoundland & Labrador,965,2,-0.71,3,-0.397,2,-0.467,2,-0.642
10010346,Newfoundland & Labrador,430,2,-0.769,3,-0.279,3,-0.07,1,-0.863
10010348,Newfoundland & Labrador,1455,3,-0.14,2,-0.724,1,-1.139,2,-0.483
10010356,Newfoundland & Labrador,565,5,1.905,1,-0.802,5,3.8,1,-0.739
10010357,Newfoundland & Labrador,295,1,-0.951,1,-0.959,4,0.333,1,-0.926
10010457,Newfoundland & Labrador,460,4,0.133,2,-0.768,3,0.005,5,0.52
10010458,Newfoundland & Labrador,535,4,0.316,3,-0.289,2,-0.379,5,0.78
10010459,Newfoundland & Labrador,415,4,0.023,1,-0.894,5,1.624,1,-0.871
10010460,Newfoundland & Labrador,565,3,-0.315,2,-0.687,3,-0.232,2,-0.523
10010461,Newfoundland & Labrador,405,3,-0.063,3,-0.489,4,0.237,3,-0.033
10010482,Newfoundland & Labrador,545,4,0.474,2,-0.541,2,-0.445,1,-0.769
10010484,Newfoundland & Labrador,765,5,1.511,2,-0.643,5,1.383,4,0.401
10010485,Newfoundland & Labrador,490,2,-0.741,2,-0.554,3,-0.174,1,-0.961
10010486,Newfoundland & Labrador,1065,4,0.105,1,-0.789,3,-0.257,3,-0.092
10010488,Newfoundland & Labrador,610,5,0.987,2,-0.603,4,0.263,3,-0.101
10010489,Newfoundland & Labrador,295,3,-0.461,3,-0.216,2,-0.435,3,-0.18
10010490,Newfoundland & Labrador,480,3,-0.248,2,-0.644,4,0.307,1,-0.832
10010491,Newfoundland & Labrador,895,4,0.102,1,-0.845,2,-0.406,2,-0.374
10010492,Newfoundland & Labrador,610,4,0.153,2,-0.747,5,0.717,4,0.225
10010493,Newfoundland & Labrador,350,3,-0.47,1,-0.958,3,-0.213,3,-0.125
10010494,Newfoundland & Labrador,380,2,-0.78,1,-0.846,4,0.204,3,-0.095
10010495,Newfoundland & Labrador,320,4,0.545,1,-0.836,4,0.382,4,0.413
10010496,Newfoundland & Labrador,380,2,-0.628,1,-0.917,5,1.539,4,0.091
10010497,Newfoundland & Labrador,455,3,-0.447,1,-0.943,5,1.555,5,1.12
10010498,Newfoundland & Labrador,550,2,-0.579,1,-0.927,5,0.79,3,-0.216
10010499,Newfoundland & Labrador,195,2,-0.58,1,-0.844,5,1.997,4,0.028
10010500,Newfoundland & Labrador,605,3,-0.345,1,-0.9,5,1.432,4,0.204
10010501,Newfoundland & Labrador,205,4,0.048,1,-0.87,5,2.051,5,0.537
10010502,Newfoundland & Labrador,440,3,-0.201,1,-1.043,5,1.318,4,0.156
10010503,Newfoundland & Labrador,205,2,-0.814,1,-0.874,5,1.619,4,0.327
10010504,Newfoundland & Labrador,355,2,-0.795,1,-0.812,5,2.134,3,-0.086
10010505,Newfoundland & Labrador,760,3,-0.392,1,-0.825,5,1.145,4,0.129
10010506,Newfoundland & Labrador,440,3,-0.449,1,-0.837,5,1.531,4,0.121
10010507,Newfoundland & Labrador,390,3,-0.311,2,-0.678,4,0.453,5,1.043
10010508,Newfoundland & Labrador,475,2,-0.489,1,-0.791,5,0.989,4,0.179
10010509,Newfoundland & Labrador,350,2,-0.593,1,-0.799,5,1.64,3,-0.067
10010510,Newfoundland & Labrador,365,2,-0.697,1,-0.832,5,1.176,5,0.547
10010511,Newfoundland & Labrador,435,2,-0.524,2,-0.762,5,0.685,4,0.306
10010512,Newfoundland & Labrador,390,2,-0.518,1,-0.803,5,1.025,5,0.618
10010513,Newfoundland & Labrador,290,4,0.082,1,-0.9,5,2.002,4,0.037
10010514,Newfoundland & Labrador,385,5,0.942,1,-1.079,5,2.214,5,0.711
10010515,Newfoundland & Labrador,510,3,-0.412,2,-0.634,5,1.435,4,0.011
10010516,Newfoundland & Labrador,530,2,-0.805,2,-0.773,5,1.616,3,-0.026
10010517,Newfoundland & Labrador,615,3,-0.462,1,-0.868,4,0.62,3,-0.305
10010518,Newfoundland & Labrador,575,4,0.395,2,-0.709,4,0.603,3,-0.199
10010519,Newfoundland & Labrador,405,4,0.718,1,-0.993,4,0.645,5,0.607
10010520,Newfoundland & Labrador,295,1,-0.937,1,-0.96,3,0.001,1,-0.686
10010521,Newfoundland & Labrador,445,3,-0.381,2,-0.758,5,0.804,4,0.345
10010522,Newfoundland & Labrador,420,4,0.22,2,-0.722,5,1.603,5,1.115
10010523,Newfoundland & Labrador,375,4,0.015,1,-0.841,5,2.166,5,0.87
10010524,Newfoundland & Labrador,410,4,0.001,2,-0.716,5,1.097,5,1.271
10010525,Newfoundland & Labrador,480,3,-0.288,1,-0.836,5,0.747,3,-0.111
10010526,Newfoundland & Labrador,265,1,-0.917,1,-0.996,5,1.44,2,-0.402
10010527,Newfoundland & Labrador,395,2,-0.704,2,-0.683,5,1.221,4,0.315
10010529,Newfoundland & Labrador,405,1,-0.864,2,-0.636,5,0.959,4,0.133
10010530,Newfoundland & Labrador,375,2,-0.518,2,-0.746,5,0.782,4,0.223
10010531,Newfoundland & Labrador,240,3,-0.458,1,-0.901,5,0.896,4,0.104
10010532,Newfoundland & Labrador,280,2,-0.601,1,-0.938,5,1.345,3,-0.184
10010533,Newfoundland & Labrador,340,1,-0.994,2,-0.608,5,2.69,5,0.817
10010534,Newfoundland & Labrador,340,1,-1.267,2,-0.571,5,1.717,4,0.267
10010535,Newfoundland & Labrador,755,1,-0.878,1,-0.876,3,0.041,4,0.182
10010536,Newfoundland & Labrador,535,2,-0.664,1,-0.846,4,0.229,4,0.26
10010537,Newfoundland & Labrador,765,3,-0.29,1,-0.929,4,0.505,4,0.102
10010538,Newfoundland & Labrador,380,2,-0.608,1,-0.963,5,0.98,3,-0.235
10010539,Newfoundland & Labrador,595,1,-0.86,1,-0.879,5,0.946,2,-0.555
10010540,Newfoundland & Labrador,820,2,-0.656,2,-0.748,4,0.564,4,0.209
10010541,Newfoundland & Labrador,480,3,-0.063,1,-0.878,3,-0.09,4,0.291
10010542,Newfoundland & Labrador,545,2,-0.636,2,-0.629,4,0.343,5,0.645
10010543,Newfoundland & Labrador,490,4,0.017,2,-0.777,5,0.897,5,1.011
10010544,Newfoundland & Labrador,575,1,-0.926,1,-0.858,5,0.995,3,-0.287
10010546,Newfoundland & Labrador,565,3,-0.348,1,-0.843,5,1.249,3,-0.163
10010547,Newfoundland & Labrador,765,3,-0.297,1,-0.997,4,0.664,3,-0.08
10010548,Newfoundland & Labrador,560,3,-0.099,1,-0.984,5,0.789,3,-0.248
10010549,Newfoundland & Labrador,640,2,-0.631,1,-0.967,4,0.143,4,0.049
10010550,Newfoundland & Labrador,370,3,-0.398,2,-0.572,5,1.965,5,1.139
10010551,Newfoundland & Labrador,370,2,-0.64,2,-0.672,5,1.816,4,0.198
10010552,Newfoundland & Labrador,345,3,-0.215,2,-0.696,5,1.752,5,0.474
10010553,Newfoundland & Labrador,320,3,-0.271,1,-0.923,5,1.789,4,0.064
10010554,Newfoundland & Labrador,480,2,-0.548,2,-0.757,5,1.597,5,0.642
10010555,Newfoundland & Labrador,400,2,-0.825,1,-0.914,5,1.201,4,0.087
10010556,Newfoundland & Labrador,300,3,-0.128,1,-0.973,5,3.453,5,0.592
10010557,Newfoundland & Labrador,390,2,-0.535,2,-0.759,3,-0.005,5,0.565
10010558,Newfoundland & Labrador,440,3,-0.326,2,-0.599,5,0.754,5,1.026
10010559,Newfoundland & Labrador,305,3,-0.43,2,-0.767,5,1.808,4,0.206
10010560,Newfoundland & Labrador,685,2,-0.517,2,-0.723,5,1.429,5,0.537
10010561,Newfoundland & Labrador,275,3,-0.207,1,-0.811,5,1.155,4,0.159
10010562,Newfoundland & Labrador,565,3,-0.208,1,-0.942,5,0.795,3,-0.048
10010563,Newfoundland & Labrador,545,3,-0.12,1,-0.922,5,0.888,2,-0.456
10010564,Newfoundland & Labrador,410,2,-0.615,1,-1.02,5,1.351,2,-0.589
10010565,Newfoundland & Labrador,540,2,-0.823,1,-0.829,4,0.144,3,-0.331
10010566,Newfoundland & Labrador,520,2,-0.662,1,-0.852,4,0.454,4,0.065
10010567,Newfoundland & Labrador,560,2,-0.619,1,-0.926,3,-0.153,2,-0.48
10010568,Newfoundland & Labrador,600,2,-0.607,1,-0.884,2,-0.715,4,0.196
10010569,Newfoundland & Labrador,500,2,-0.669,1,-0.844,3,-0.271,4,0.307
10010570,Newfoundland & Labrador,695,2,-0.647,1,-0.836,4,0.127,3,-0.233
10010571,Newfoundland & Labrador,440,1,-0.924,1,-1.021,1,-0.836,1,-0.789
10010572,Newfoundland & Labrador,1535,3,-0.432,1,-0.902,1,-0.985,2,-0.439
10010573,Newfoundland & Labrador,1060,3,-0.413,1,-0.836,4,0.197,3,-0.195
10010574,Newfoundland & Labrador,480,2,-0.578,1,-0.929,3,-0.093,2,-0.357
10010575,Newfoundland & Labrador,1615,1,-0.857,1,-0.804,1,-0.824,2,-0.577
10010576,Newfoundland & Labrador,825,2,-0.718,1,-0.868,1,-1.017,3,-0.218
10010577,Newfoundland & Labrador,390,3,-0.454,1,-1.12,3,0.012,3,-0.288
10010578,Newfoundland & Labrador,540,3,-0.282,1,-0.866,2,-0.374,3,-0.052
10010579,Newfoundland & Labrador,825,3,-0.206,1,-0.987,4,0.282,3,-0.158
10010580,Newfoundland & Labrador,565,3,-0.326,1,-0.919,3,-0.222,3,-0.25
10010581,Newfoundland & Labrador,645,3,-0.078,1,-0.908,2,-0.386,3,-0.191
10010582,Newfoundland & Labrador,710,3,-0.457,1,-0.815,2,-0.319,3,-0.044
10010583,Newfoundland & Labrador,680,2,-0.69,2,-0.699,3,-0.236,3,-0.157
10010584,Newfoundland & Labrador,1070,2,-0.557,1,-0.907,2,-0.498,3,-0.266
10010585,Newfoundland & Labrador,680,2,-0.607,1,-0.799,1,-0.835,3,-0.162
10010586,Newfoundland & Labrador,655,3,-0.374,2,-0.657,3,-0.211,4,0.101
10010587,Newfoundland & Labrador,295,3,-0.317,1,-0.851,5,0.769,4,0.363
10010588,Newfoundland & Labrador,620,3,-0.404,2,-0.707,3,0.085,4,0.419
10010589,Newfoundland & Labrador,1115,3,-0.183,1,-0.951,2,-0.499,2,-0.408
10010590,Newfoundland & Labrador,720,2,-0.597,2,-0.761,3,-0.046,3,-0.263
10010591,Newfoundland & Labrador,635,3,-0.408,1,-0.823,5,0.802,4,0.079
10010592,Newfoundland & Labrador,495,1,-1.092,1,-0.89,4,0.218,3,-0.295
10010593,Newfoundland & Labrador,605,2,-0.796,1,-0.971,1,-1.015,2,-0.403
10010594,Newfoundland & Labrador,400,2,-0.797,1,-0.97,1,-1.449,2,-0.372
10010595,Newfoundland & Labrador,430,2,-0.756,1,-0.909,1,-0.811,3,-0.157
10010596,Newfoundland & Labrador,460,2,-0.643,1,-0.955,2,-0.442,2,-0.469
10010597,Newfoundland & Labrador,480,1,-1.007,1,-0.807,4,0.259,3,-0.248
10010598,Newfoundland & Labrador,640,3,-0.394,1,-0.884,2,-0.329,2,-0.387
10010599,Newfoundland & Labrador,695,1,-0.857,1,-0.88,2,-0.427,2,-0.454
10010600,Newfoundland & Labrador,640,1,-0.891,1,-0.875,2,-0.359,1,-0.832
10010601,Newfoundland & Labrador,525,2,-0.773,1,-0.894,2,-0.507,2,-0.645
10010602,Newfoundland & Labrador,1055,2,-0.555,1,-0.924,2,-0.703,2,-0.452
10010603,Newfoundland & Labrador,590,3,-0.329,2,-0.787,2,-0.449,3,-0.29
10010604,Newfoundland & Labrador,560,1,-0.984,1,-0.85,3,-0.157,2,-0.343
10010605,Newfoundland & Labrador,580,1,-1.212,2,-0.765,1,-0.964,1,-0.75
10010607,Newfoundland & Labrador,1425,3,-0.336,1,-0.882,1,-1.715,2,-0.353
10010608,Newfoundland & Labrador,2405,2,-0.541,1,-0.871,1,-1.47,1,-0.666
10010610,Newfoundland & Labrador,1110,2,-0.674,2,-0.73,2,-0.746,3,-0.174
10010611,Newfoundland & Labrador,175,2,-0.582,1,-0.91,4,0.232,3,-0.079
10010614,Newfoundland & Labrador,405,1,-1.167,2,-0.781,1,-1.649,1,-0.681
10010617,Newfoundland & Labrador,2840,3,-0.453,1,-0.916,1,-1.185,2,-0.398
10010618,Newfoundland & Labrador,650,3,-0.484,1,-0.954,1,-1.778,2,-0.527
10010619,Newfoundland & Labrador,500,2,-0.626,1,-1.055,1,-1.551,3,-0.257
10010620,Newfoundland & Labrador,950,4,0.441,1,-1.041,5,1.136,1,-0.82
10010621,Newfoundland & Labrador,605,4,0.142,1,-0.809,1,-1.532,2,-0.493
10010622,Newfoundland & Labrador,610,2,-0.582,1,-0.922,1,-1.351,1,-0.651
10010623,Newfoundland & Labrador,650,3,-0.29,2,-0.683,3,-0.003,3,-0.279
10010624,Newfoundland & Labrador,420,4,0.113,1,-0.99,5,0.952,3,-0.029
10010625,Newfoundland & Labrador,375,3,-0.337,1,-1.03,2,-0.627,2,-0.378
10010626,Newfoundland & Labrador,460,3,-0.342,2,-0.749,3,-0.226,4,0.243
10010627,Newfoundland & Labrador,400,3,-0.357,1,-0.945,5,0.874,3,-0.331
10010628,Newfoundland & Labrador,350,3,-0.145,1,-0.792,5,0.966,3,-0.258
10010629,Newfoundland & Labrador,1020,3,-0.062,1,-0.984,3,0.061,3,-0.082
10010630,Newfoundland & Labrador,425,3,-0.331,1,-0.83,3,-0.294,4,0.151
10010631,Newfoundland & Labrador,225,4,0.557,3,-0.404,3,-0.142,5,0.652
10010632,Newfoundland & Labrador,670,2,-0.64,1,-0.963,4,0.4,2,-0.534
10010633,Newfoundland & Labrador,660,3,-0.07,1,-0.934,3,-0.201,3,-0.227
10010634,Newfoundland & Labrador,715,2,-0.53,1,-0.896,2,-0.464,3,-0.256
10010635,Newfoundland & Labrador,370,3,-0.279,1,-0.978,4,0.178,3,-0.333
10010636,Newfoundland & Labrador,815,3,-0.371,1,-0.898,3,-0.137,3,-0.216
10010637,Newfoundland & Labrador,650,4,0.001,1,-0.821,1,-1.231,4,-0.006
10010638,Newfoundland & Labrador,480,2,-0.625,1,-0.831,3,-0.008,5,0.463
10010639,Newfoundland & Labrador,435,2,-0.554,3,-0.447,3,-0.007,2,-0.395
10010640,Newfoundland & Labrador,365,3,-0.444,1,-0.85,4,0.577,3,-0.333
10010641,Newfoundland & Labrador,345,2,-0.502,1,-1.065,4,0.512,2,-0.5
10010642,Newfoundland & Labrador,465,4,-0.011,1,-0.999,4,0.263,4,0.259
10010643,Newfoundland & Labrador,620,3,-0.087,2,-0.608,5,0.772,4,0.171
10010644,Newfoundland & Labrador,1490,2,-0.67,2,-0.762,1,-1.573,1,-0.685
10010645,Newfoundland & Labrador,375,3,-0.303,2,-0.771,4,0.624,4,0.053
10010646,Newfoundland & Labrador,630,4,0.199,1,-0.833,5,1.6,4,0.205
10010647,Newfoundland & Labrador,475,4,0.468,3,-0.432,5,0.787,4,0.222
10010648,Newfoundland & Labrador,320,2,-0.53,1,-0.929,3,-0.046,3,-0.248
10010649,Newfoundland & Labrador,260,3,-0.261,1,-0.858,4,0.364,2,-0.461
10010650,Newfoundland & Labrador,320,4,-0.01,1,-0.917,5,1.379,4,0.209
10010651,Newfoundland & Labrador,1170,3,-0.186,1,-0.918,1,-0.87,3,-0.304
10010652,Newfoundland & Labrador,465,4,0.477,2,-0.714,2,-0.639,5,1.157
10010653,Newfoundland & Labrador,680,4,0.104,1,-0.973,2,-0.735,3,-0.112
10010654,Newfoundland & Labrador,460,3,-0.475,2,-0.668,2,-0.365,4,0.093
10010655,Newfoundland & Labrador,285,2,-0.58,1,-0.995,5,0.98,1,-0.736
